mnemonic,unit_name,inserted_at,updated_at
wc,In Millions,5/4/18,5/4/18
txdbca,In Millions,5/4/18,5/4/18
ebitax,In Millions,5/4/18,5/4/18
ppc,In Millions,5/4/18,5/4/18
pprbc,In Millions,5/4/18,5/4/18
pi_onope,In Millions,5/4/18,5/4/18
tshield,In Millions,5/4/18,5/4/18
ebita_adj,In Millions,5/4/18,5/4/18
prsc,In Millions,5/4/18,5/4/18
ppic,In Millions,5/4/18,5/4/18
ao_m,In Millions,5/4/18,5/4/18
pric,In Millions,5/4/18,5/4/18
ppsc,In Millions,5/4/18,5/4/18
rect,In Millions,5/4/18,5/4/18
popsrc,Not Applicable,5/4/18,5/4/18
pralt,In Millions,5/4/18,5/4/18
ebita_taxr,In Percent,5/4/18,5/4/18
nonopa,In Millions,5/4/18,5/4/18
mtaxr_a,In Percent,5/4/18,5/4/18
opcash,In Millions,5/4/18,5/4/18
invt,In Millions,5/4/18,5/4/18
txdba,In Millions,5/4/18,5/4/18
lo_m,In Millions,5/4/18,5/4/18
txp,In Millions,5/4/18,5/4/18
am,In Millions,5/4/18,5/4/18
pri_onopre,In Millions,5/4/18,5/4/18
prlc,In Millions,5/4/18,5/4/18
txt,In Millions,5/4/18,5/4/18
roic,In Percent,5/4/18,5/4/18
ic,In Millions,5/4/18,5/4/18
tcr,In Percent,5/4/18,5/4/18
gdwl,In Millions,5/4/18,5/4/18
nopi_m,In Millions,5/4/18,5/4/18
ppent,In Millions,5/4/18,5/4/18
cturn,Ratio,5/4/18,5/4/18
che,In Millions,5/4/18,5/4/18
ebit,In Millions,5/4/18,5/4/18
ic_gw_sa2,In Millions,5/4/18,5/4/18
ni_calc,In Millions,5/4/18,5/4/18
ni_calc_bnk,In Millions,5/4/18,5/4/18
roic_gw,In Percent,5/4/18,5/4/18
cogs_marg,In Percent,5/4/18,5/4/18
wc_sa2,In Millions,5/4/18,5/4/18
ppe_sale,In Percent,5/4/18,5/4/18
nonopa_sa2,In Millions,5/4/18,5/4/18
dp,In Millions,5/4/18,5/4/18
ceq,In Millions,5/4/18,5/4/18
